,Date,Time,Station,CAPE,CIN
135,1992-05-02,0,GRB,1129.3839746171225 joule / kilogram,-178.26137748466408 joule / kilogram
136,1992-05-02,0,LBF,25.083900797302775 joule / kilogram,-288.6922762554736 joule / kilogram
137,1992-05-02,0,DDC,349.01471893705605 joule / kilogram,-0.00015119890671267422 joule / kilogram
138,1992-05-02,0,TOP,1945.7390396025057 joule / kilogram,-450.73994502267806 joule / kilogram
139,1992-05-02,0,AMA,141.28965245357787 joule / kilogram,-23.504748087523204 joule / kilogram
140,1992-05-02,0,OUN,1513.5367858894601 joule / kilogram,-364.3639567982137 joule / kilogram
141,1992-05-02,0,MAF,248.4124051189702 joule / kilogram,-0.00019255351105078062 joule / kilogram
142,1992-05-02,0,DRT,1329.805252452964 joule / kilogram,-0.00023590002247492103 joule / kilogram
143,1992-05-02,0,CRP,69.5651492533117 joule / kilogram,-464.6721117390629 joule / kilogram
144,1992-05-02,0,BRO,326.9152617439013 joule / kilogram,-4.59129909111499 joule / kilogram
145,1992-05-02,0,LZK,58.932219076531425 joule / kilogram,-6.383008800430446 joule / kilogram
146,1992-05-02,0,LCH,186.3460442586908 joule / kilogram,-3.0552884034970273 joule / kilogram
147,1992-05-02,0,JAN,107.38287561068259 joule / kilogram,-240.23868524395203 joule / kilogram
148,1992-05-02,0,LIX,0.02275119470715435 joule / kilogram,-2.6150435704036283 joule / kilogram
149,1992-05-02,0,BNA,1.5032905663778198 joule / kilogram,-0.04616180294806621 joule / kilogram
150,1992-05-02,0,TLH,0.009939798924041099 joule / kilogram,-14.802546700783832 joule / kilogram
151,1992-05-02,0,WMW,0.0 joule / kilogram,0.0 joule / kilogram
152,1992-05-02,0,BUF,0.0 joule / kilogram,0.0 joule / kilogram
153,1992-05-02,0,ALB,0.0 joule / kilogram,0.0 joule / kilogram
154,1992-05-02,0,CAR,0.0 joule / kilogram,0.0 joule / kilogram
155,1992-05-02,0,YQI,0.0 joule / kilogram,0.0 joule / kilogram
156,1992-05-02,0,CHH,0.0 joule / kilogram,0.0 joule / kilogram
157,1992-05-02,0,IAD,0.0 joule / kilogram,0.0 joule / kilogram
158,1992-05-02,0,WAL,0.42005703207386175 joule / kilogram,-0.00036543401436663477 joule / kilogram
159,1992-05-02,0,GSO,0.0 joule / kilogram,0.0 joule / kilogram
160,1992-05-02,0,CHS,0.0 joule / kilogram,0.0 joule / kilogram
161,1992-05-02,0,TBW,167.13940725121117 joule / kilogram,-51.47311156425419 joule / kilogram
162,1992-05-03,12,UIL,0.0 joule / kilogram,0.0 joule / kilogram
163,1992-05-03,12,BOI,0.0 joule / kilogram,0.0 joule / kilogram
164,1992-05-03,12,OAK,0.0 joule / kilogram,0.0 joule / kilogram
165,1992-05-03,12,NKX,0.0 joule / kilogram,0.0 joule / kilogram
166,1992-05-03,12,GGW,0.0 joule / kilogram,0.0 joule / kilogram
167,1992-05-03,12,RAP,0.0 joule / kilogram,0.0 joule / kilogram
168,1992-05-03,12,SLC,0.0 joule / kilogram,0.0 joule / kilogram
169,1992-05-03,12,GJT,0.0 joule / kilogram,0.0 joule / kilogram
170,1992-05-03,12,ABQ,0.0 joule / kilogram,0.0 joule / kilogram
171,1992-05-03,12,TUS,38.71504336937929 joule / kilogram,-412.61591144907027 joule / kilogram
172,1992-05-03,12,BIS,0.0 joule / kilogram,0.0 joule / kilogram
173,1992-05-03,12,WPL,0.0 joule / kilogram,0.0 joule / kilogram
174,1992-05-03,12,INL,0.0 joule / kilogram,0.0 joule / kilogram
175,1992-05-03,12,YMO,0.0 joule / kilogram,0.0 joule / kilogram
176,1992-05-03,12,GRB,0.0 joule / kilogram,0.0 joule / kilogram
177,1992-05-03,12,LBF,0.0 joule / kilogram,0.0 joule / kilogram
178,1992-05-03,12,DDC,0.0 joule / kilogram,0.0 joule / kilogram
179,1992-05-03,12,TOP,0.0 joule / kilogram,0.0 joule / kilogram
180,1992-05-03,12,AMA,0.0 joule / kilogram,0.0 joule / kilogram
181,1992-05-03,12,OUN,0.0 joule / kilogram,0.0 joule / kilogram
182,1992-05-03,12,MAF,0.0 joule / kilogram,0.0 joule / kilogram
183,1992-05-03,12,DRT,14.594816772759026 joule / kilogram,-306.18866242316005 joule / kilogram
184,1992-05-03,12,CRP,164.1868095233984 joule / kilogram,-179.87720804313054 joule / kilogram
185,1992-05-03,12,ADN,383.9067848219455 joule / kilogram,-267.3404575781114 joule / kilogram
186,1992-05-03,12,BRO,423.27864177534957 joule / kilogram,-237.4865015743423 joule / kilogram
187,1992-05-03,12,LZK,0.0 joule / kilogram,0.0 joule / kilogram
188,1992-05-03,12,LCH,5.8570942513792295 joule / kilogram,-114.62541424746149 joule / kilogram
189,1992-05-03,12,JAN,0.0 joule / kilogram,0.0 joule / kilogram
190,1992-05-03,12,LIX,0.0 joule / kilogram,0.0 joule / kilogram
191,1992-05-03,12,BNA,0.0 joule / kilogram,0.0 joule / kilogram
192,1992-05-03,12,TLH,0.0 joule / kilogram,0.0 joule / kilogram
193,1992-05-03,12,WMW,0.0 joule / kilogram,0.0 joule / kilogram
194,1992-05-03,12,BUF,0.0 joule / kilogram,0.0 joule / kilogram
195,1992-05-03,12,ALB,0.0 joule / kilogram,0.0 joule / kilogram
196,1992-05-03,12,CAR,0.0 joule / kilogram,0.0 joule / kilogram
197,1992-05-03,12,YQI,0.0 joule / kilogram,0.0 joule / kilogram
198,1992-05-03,12,CHH,0.0 joule / kilogram,0.0 joule / kilogram
199,1992-05-03,12,PIT,0.0 joule / kilogram,0.0 joule / kilogram
200,1992-05-03,12,IAD,0.0 joule / kilogram,0.0 joule / kilogram
201,1992-05-03,12,WAL,0.16306120265682114 joule / kilogram,-0.000118396469044444 joule / kilogram
202,1992-05-03,12,GSO,0.0 joule / kilogram,0.0 joule / kilogram
203,1992-05-03,12,CHS,0.0 joule / kilogram,0.0 joule / kilogram
204,1992-05-03,12,TBW,0.0 joule / kilogram,0.0 joule / kilogram
205,1992-05-03,0,UIL,0.0 joule / kilogram,0.0 joule / kilogram
206,1992-05-03,0,MFR,0.06362701632172924 joule / kilogram,-83.72396250506215 joule / kilogram
207,1992-05-03,0,BOI,0.0 joule / kilogram,0.0 joule / kilogram
208,1992-05-03,0,OAK,401.126202880107 joule / kilogram,-197.54851301610745 joule / kilogram
209,1992-05-03,0,NKX,0.0 joule / kilogram,0.0 joule / kilogram
210,1992-05-03,0,GGW,0.0 joule / kilogram,0.0 joule / kilogram
211,1992-05-03,0,RAP,0.0 joule / kilogram,0.0 joule / kilogram
212,1992-05-03,0,SLC,0.0 joule / kilogram,0.0 joule / kilogram
213,1992-05-03,0,GJT,0.0 joule / kilogram,0.0 joule / kilogram
214,1992-05-03,0,ABQ,0.0 joule / kilogram,0.0 joule / kilogram
215,1992-05-03,0,TUS,542.3666275658628 joule / kilogram,-42.03820083214196 joule / kilogram
216,1992-05-03,0,BIS,0.0 joule / kilogram,0.0 joule / kilogram
217,1992-05-03,0,WPL,0.0 joule / kilogram,0.0 joule / kilogram
218,1992-05-03,0,INL,11.24262346209618 joule / kilogram,-8.503720393720243 joule / kilogram
219,1992-05-03,0,YMO,0.0 joule / kilogram,0.0 joule / kilogram
220,1992-05-03,0,GRB,37.778299678796216 joule / kilogram,-1.5458027820647744 joule / kilogram
221,1992-05-03,0,LBF,0.0 joule / kilogram,0.0 joule / kilogram
222,1992-05-03,0,DDC,35.547086013005796 joule / kilogram,-0.00013888897645376563 joule / kilogram
223,1992-05-03,0,TOP,0.0 joule / kilogram,0.0 joule / kilogram
224,1992-05-03,0,AMA,0.0 joule / kilogram,0.0 joule / kilogram
225,1992-05-03,0,OUN,0.0 joule / kilogram,0.0 joule / kilogram
226,1992-05-03,0,MAF,6.510908892360426 joule / kilogram,-0.00014471460070351465 joule / kilogram
227,1992-05-03,0,DRT,1069.5531894507167 joule / kilogram,-0.00012870237410917635 joule / kilogram
228,1992-05-03,0,CRP,1643.173680756992 joule / kilogram,-17.180882557184155 joule / kilogram
229,1992-05-03,0,BRO,1730.1076803338476 joule / kilogram,-138.0663795102275 joule / kilogram
230,1992-05-03,0,LZK,235.59879284734703 joule / kilogram,-0.009939822058735146 joule / kilogram
231,1992-05-03,0,LCH,1117.3416052479547 joule / kilogram,-130.6329056710689 joule / kilogram
232,1992-05-03,0,JAN,0.0 joule / kilogram,0.0 joule / kilogram
233,1992-05-03,0,LIX,328.81460166976115 joule / kilogram,-218.94236854549825 joule / kilogram
234,1992-05-03,0,BNA,240.3771771275084 joule / kilogram,-184.3579565015564 joule / kilogram
235,1992-05-03,0,TLH,0.0 joule / kilogram,0.0 joule / kilogram
236,1992-05-03,0,WMW,0.5971160494026263 joule / kilogram,-2.2161864293070472 joule / kilogram
237,1992-05-03,0,BUF,0.0 joule / kilogram,0.0 joule / kilogram
238,1992-05-03,0,ALB,0.0 joule / kilogram,0.0 joule / kilogram
239,1992-05-03,0,CAR,0.0 joule / kilogram,0.0 joule / kilogram
240,1992-05-03,0,YQI,0.0 joule / kilogram,0.0 joule / kilogram
241,1992-05-03,0,CHH,0.0 joule / kilogram,0.0 joule / kilogram
242,1992-05-03,0,PIT,210.0997033981749 joule / kilogram,-42.786566208696826 joule / kilogram
243,1992-05-03,0,IAD,331.9346877186831 joule / kilogram,-281.126778608836 joule / kilogram
244,1992-05-03,0,WAL,0.0 joule / kilogram,0.0 joule / kilogram
245,1992-05-03,0,GSO,6.195100345582949 joule / kilogram,-539.5944296520574 joule / kilogram
246,1992-05-03,0,CHS,0.0 joule / kilogram,0.0 joule / kilogram
247,1992-05-03,0,TBW,0.4727879404389221 joule / kilogram,-64.60368367467457 joule / kilogram
248,1992-05-04,12,UIL,0.0 joule / kilogram,0.0 joule / kilogram
249,1992-05-04,12,BOI,0.0 joule / kilogram,0.0 joule / kilogram
250,1992-05-04,12,OAK,4.303159386873463 joule / kilogram,-0.0018263383621787597 joule / kilogram
251,1992-05-04,12,NKX,11.973597312465584 joule / kilogram,-0.278761130323586 joule / kilogram
252,1992-05-04,12,GGW,0.0 joule / kilogram,0.0 joule / kilogram
253,1992-05-04,12,RAP,0.0 joule / kilogram,0.0 joule / kilogram
254,1992-05-04,12,SLC,0.0 joule / kilogram,0.0 joule / kilogram
255,1992-05-04,12,GJT,0.0 joule / kilogram,0.0 joule / kilogram
256,1992-05-04,12,TUS,0.13767848187397277 joule / kilogram,-566.8353339272647 joule / kilogram
257,1992-05-04,12,BIS,0.0 joule / kilogram,0.0 joule / kilogram
258,1992-05-04,12,WPL,0.0 joule / kilogram,0.0 joule / kilogram
259,1992-05-04,12,INL,0.0 joule / kilogram,0.0 joule / kilogram
260,1992-05-04,12,YMO,0.0 joule / kilogram,0.0 joule / kilogram
261,1992-05-04,12,LBF,0.0 joule / kilogram,0.0 joule / kilogram
262,1992-05-04,12,DDC,0.0 joule / kilogram,0.0 joule / kilogram
263,1992-05-04,12,TOP,0.0 joule / kilogram,0.0 joule / kilogram
264,1992-05-04,12,AMA,0.0 joule / kilogram,0.0 joule / kilogram
265,1992-05-04,12,OUN,0.0 joule / kilogram,0.0 joule / kilogram
266,1992-05-04,12,MAF,0.0 joule / kilogram,0.0 joule / kilogram
267,1992-05-04,12,DRT,17.669450510506366 joule / kilogram,-265.4092443759938 joule / kilogram
268,1992-05-04,12,CRP,430.19305068248144 joule / kilogram,-17.54164138148941 joule / kilogram
269,1992-05-04,12,ADN,457.90286317420345 joule / kilogram,-85.2007635396372 joule / kilogram
270,1992-05-04,12,BRO,19.152605160659053 joule / kilogram,-211.71206589278722 joule / kilogram
271,1992-05-04,12,LZK,0.0 joule / kilogram,0.0 joule / kilogram
272,1992-05-04,12,LCH,0.0 joule / kilogram,0.0 joule / kilogram
273,1992-05-04,12,JAN,0.0 joule / kilogram,0.0 joule / kilogram
274,1992-05-04,12,LIX,32.40100411929912 joule / kilogram,-192.72711740890327 joule / kilogram
275,1992-05-04,12,BNA,0.0 joule / kilogram,0.0 joule / kilogram
276,1992-05-04,12,TLH,0.0 joule / kilogram,0.0 joule / kilogram
277,1992-05-04,12,WMW,0.0 joule / kilogram,0.0 joule / kilogram
278,1992-05-04,12,BUF,0.0 joule / kilogram,0.0 joule / kilogram
279,1992-05-04,12,ALB,0.17993402727938776 joule / kilogram,-25.258227541574946 joule / kilogram
280,1992-05-04,12,CAR,0.0 joule / kilogram,0.0 joule / kilogram
281,1992-05-04,12,YQI,0.022732973961278758 joule / kilogram,-0.024967808922602384 joule / kilogram
282,1992-05-04,12,CHH,0.0 joule / kilogram,0.0 joule / kilogram
283,1992-05-04,12,PIT,2.818859783809418 joule / kilogram,-0.008123686658313124 joule / kilogram
284,1992-05-04,12,IAD,0.0 joule / kilogram,0.0 joule / kilogram
285,1992-05-04,12,WAL,0.0 joule / kilogram,0.0 joule / kilogram
286,1992-05-04,12,GSO,0.0 joule / kilogram,0.0 joule / kilogram
287,1992-05-04,12,CHS,0.0 joule / kilogram,0.0 joule / kilogram
288,1992-05-04,12,TBW,32.96928308165027 joule / kilogram,-441.68070727702906 joule / kilogram
289,1992-05-04,0,UIL,0.0 joule / kilogram,0.0 joule / kilogram
290,1992-05-04,0,BOI,0.0 joule / kilogram,0.0 joule / kilogram
291,1992-05-04,0,OAK,4.011523614959286 joule / kilogram,-0.001857705466131688 joule / kilogram
292,1992-05-04,0,NKX,12.704701599844173 joule / kilogram,-332.68988737354204 joule / kilogram
293,1992-05-04,0,GGW,0.0 joule / kilogram,0.0 joule / kilogram
294,1992-05-04,0,RAP,0.0 joule / kilogram,0.0 joule / kilogram
295,1992-05-04,0,SLC,89.4568251883972 joule / kilogram,-58.80718820285482 joule / kilogram
296,1992-05-04,0,GJT,0.0 joule / kilogram,0.0 joule / kilogram
297,1992-05-04,0,DNR,0.0 joule / kilogram,0.0 joule / kilogram
298,1992-05-04,0,ABQ,278.9483427915176 joule / kilogram,-29.607167570048805 joule / kilogram
299,1992-05-04,0,TUS,659.2865340020471 joule / kilogram,-38.32561957828331 joule / kilogram
300,1992-05-04,0,BIS,0.0 joule / kilogram,0.0 joule / kilogram
301,1992-05-04,0,WPL,0.0 joule / kilogram,0.0 joule / kilogram
302,1992-05-04,0,INL,0.0 joule / kilogram,0.0 joule / kilogram
303,1992-05-04,0,YMO,0.0 joule / kilogram,0.0 joule / kilogram
304,1992-05-04,0,GRB,0.0 joule / kilogram,0.0 joule / kilogram
305,1992-05-04,0,LBF,0.0 joule / kilogram,0.0 joule / kilogram
306,1992-05-04,0,DDC,23.816914742511198 joule / kilogram,-0.0001406065896686268 joule / kilogram
307,1992-05-04,0,TOP,0.0 joule / kilogram,0.0 joule / kilogram
308,1992-05-04,0,AMA,1.6351441559802555 joule / kilogram,-0.006342473411554286 joule / kilogram
309,1992-05-04,0,OUN,31.871213314467095 joule / kilogram,-0.00012805939805187253 joule / kilogram
310,1992-05-04,0,MAF,104.8099929524512 joule / kilogram,-0.00017455317269614887 joule / kilogram
311,1992-05-04,0,DRT,203.15092004135846 joule / kilogram,-0.00012608443156588244 joule / kilogram
312,1992-05-04,0,CRP,1995.2372906537264 joule / kilogram,-0.3285275384386371 joule / kilogram
313,1992-05-04,0,BRO,4.397411793428603 joule / kilogram,-334.8021379359084 joule / kilogram
314,1992-05-04,0,LZK,1.0142095100030124 joule / kilogram,-0.08232034053746547 joule / kilogram
315,1992-05-04,0,LCH,0.0 joule / kilogram,0.0 joule / kilogram
316,1992-05-04,0,JAN,1358.5060563080003 joule / kilogram,-5.484779972495657 joule / kilogram
317,1992-05-04,0,LIX,751.9868915114429 joule / kilogram,-17.863412647783786 joule / kilogram
318,1992-05-04,0,BNA,0.9329161727396492 joule / kilogram,-0.0503957410365667 joule / kilogram
319,1992-05-04,0,TLH,0.0 joule / kilogram,0.0 joule / kilogram
320,1992-05-04,0,WMW,15.620116013655839 joule / kilogram,-0.8229182765068797 joule / kilogram
321,1992-05-04,0,BUF,114.74180640323262 joule / kilogram,-8.925756381115225 joule / kilogram
322,1992-05-04,0,ALB,0.0 joule / kilogram,0.0 joule / kilogram
323,1992-05-04,0,CAR,0.0 joule / kilogram,0.0 joule / kilogram
324,1992-05-04,0,YQI,0.0 joule / kilogram,0.0 joule / kilogram
325,1992-05-04,0,CHH,0.0 joule / kilogram,0.0 joule / kilogram
326,1992-05-04,0,PIT,19.388799185041425 joule / kilogram,-0.002495414585170349 joule / kilogram
327,1992-05-04,0,IAD,3.9825305668446935 joule / kilogram,-108.8595233271478 joule / kilogram
328,1992-05-04,0,WAL,0.5837148066202396 joule / kilogram,-0.00020116110636046668 joule / kilogram
